메뉴명,단가(원)
치킨마요,"2,900"
참치마요,"2,900"
치킨제육도시락,"3,900"
돈까스도련님도시락,"3,900"
왕치킨마요,"4,200"
동백도시락,"5,000"
왕카레돈까스덮밥,"5,500"
진달래도시락,"7,000"
메가고기고기,"7,900"
